order_id,customer_id,product_id,quantity,unit_price,order_date,status,region
1001,101,2,2,29.99,2024-01-05,completed,North
1002,102,11,3,12.99,2024-01-08,completed,South
1003,103,7,1,39.99,2024-01-12,completed,East
1004,104,3,1,49.99,2024-01-18,completed,West
1005,105,2,2,29.99,2024-01-25,completed,South
1006,106,4,1,149.99,2024-02-02,completed,North
1007,107,6,1,79.99,2024-02-05,completed,East
1008,108,2,3,29.99,2024-02-08,completed,West
1009,109,8,1,449.99,2024-02-12,completed,South
1010,110,3,2,49.99,2024-02-15,completed,North
1011,111,5,1,399.99,2024-02-18,completed,East
1012,112,7,2,39.99,2024-02-22,completed,West
1013,113,4,1,149.99,2024-02-25,completed,South
1014,114,1,1,1299.99,2024-03-01,completed,North
1015,115,9,1,599.99,2024-03-03,completed,East
1016,116,8,1,449.99,2024-03-05,completed,West
1017,117,5,2,399.99,2024-03-07,completed,South
1018,118,1,1,1299.99,2024-03-10,completed,North
1019,119,4,2,149.99,2024-03-12,completed,East
1020,120,16,2,199.99,2024-03-14,completed,West
1021,121,9,1,599.99,2024-03-16,completed,South
1022,101,1,1,1299.99,2024-03-18,completed,North
1023,102,8,2,449.99,2024-03-20,completed,East
1024,103,5,1,399.99,2024-03-22,completed,West
1025,104,16,3,199.99,2024-03-25,pending,South
